"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01041","5","111920","78","0","2023","A","N","Crenshaw County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",15.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","111920","78","0","2023","A","N","Dale County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",8.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","111920","78","0","2023","A","N","Dallas County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",14.44,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","111920","78","0","2023","A","N","Elmore County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","111920","78","0","2023","A","N","Escambia County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",10.08,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","111920","78","0","2023","A","N","Fayette County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","111920","78","0","2023","A","","Geneva County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,20,1056771,240081,480,1038,53963,"",38.14,57.44,118.39,91.63,31.30,2.10,2.10,"",0,0.0,-3,-13.0,2522,0.2,-23484,-8.9,-1365,-74.0,157,17.8,8126,17.7
"01067","5","111920","78","0","2023","A","","Henry County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,394042,136781,274,548,28485,"",44.47,55.99,47.94,74.98,36.33,0.87,0.87,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","111920","78","0","2023","A","","Houston County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,31,981793,212382,1011,614,31928,"",5.23,9.61,9.38,8.63,7.20,0.98,0.98,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","111920","78","0","2023","A","N","Lauderdale County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",9.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01079","5","111920","78","0","2023","A","N","Lawrence County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",65.73,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","111920","78","0","2023","A","N","Limestone County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",20.05,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"01087","5","111920","78","0","2023","A","N","Macon County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",15.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","111920","78","0","2023","A","N","Madison County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",1.80,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","111920","78","0","2023","A","N","Mobile County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","5","111920","78","0","2023","A","","Monroe County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,7,251044,85245,1740,666,34627,"",37.83,18.26,20.54,31.01,98.61,1.09,1.09,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","111920","78","0","2023","A","N","Morgan County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","5","111920","78","0","2023","A","N","Pike County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01113","5","111920","78","0","2023","A","N","Russell County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.98,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","111920","78","0","2023","A","N","Shelby County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","111920","78","0","2023","A","N","Talladega County, Alabama","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.02,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","3","111920","58","0","2023","A","N","Arizona -- Statewide","Local Government","NAICS 111920 Cotton farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",53.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","111920","58","0","2023","A","","Arizona -- Statewide","Private","NAICS 111920 Cotton farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",87,697,36752248,7852320,245432,1014,52735,"",1.84,3.46,4.33,4.78,11.93,1.25,1.25,"",1,1.2,-8,-1.1,2487006,7.3,1236687,18.7,22970,10.3,79,8.4,4132,8.5
"04009","5","111920","78","0","2023","A","N","Graham County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",45.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04011","5","111920","78","0","2023","A","N","Greenlee County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",43.85,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04012","5","111920","78","0","2023","A","N","La Paz County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",23.88,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","111920","78","0","2023","A","","Maricopa County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",26,218,11279887,2338412,6974,995,51743,"",0.87,1.54,1.80,1.96,0.51,1.17,1.17,"",0,0.0,5,2.3,881798,8.5,538557,29.9,2334,50.3,54,5.7,2830,5.8
"04015","3","111920","78","0","2023","A","N","Mohave County, Arizona","Local Government","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",814.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","111920","78","0","2023","A","","Pima County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,53,2505795,485608,1062,912,47428,"",1.22,2.16,2.73,2.79,0.66,1.27,1.27,"",1,20.0,-19,-26.4,-505453,-16.8,-123438,-20.3,-411,-27.9,104,12.9,5411,12.9
"04021","3","111920","78","0","2023","A","N","Pinal County, Arizona","Local Government","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1757.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04021","5","111920","78","0","2023","A","","Pinal County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",39,207,10134107,2600081,9240,942,48996,"",40.49,44.43,61.92,78.59,20.21,1.39,1.39,"",0,0.0,3,1.5,1328845,15.1,510329,24.4,-5209,-36.1,111,13.4,5780,13.4
"04025","5","111920","78","0","2023","A","N","Yavapai County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04027","5","111920","78","0","2023","A","N","Yuma County, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",5.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","111920","78","0","2023","A","N","Unknown Or Undefined, Arizona","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","111920","58","0","2023","A","","Arkansas -- Statewide","Private","NAICS 111920 Cotton farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",125,489,20191722,4422836,117239,794,41264,"",5.72,6.00,7.11,8.09,20.89,1.18,1.18,"",1,0.8,-1,-0.2,624457,3.2,-1505975,-25.4,-35860,-23.4,25,3.3,1290,3.2
"05001","5","111920","78","0","2023","A","","Arkansas County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,6,198688,50711,1573,695,36125,"",19.88,9.12,9.59,10.75,35.48,1.15,1.15,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"05003","5","111920","78","0","2023","A","N","Ashley County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.18,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05009","5","111920","78","0","2023","A","N","Boone County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05015","5","111920","78","0","2023","A","N","Carroll County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.78,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"05017","5","111920","78","0","2023","A","","Chicot County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,36,1216671,290652,19071,644,33486,"",99.82,206.54,262.02,285.14,1166.96,1.26,1.26,"",0,0.0,-1,-2.7,-23052,-1.9,-146157,-33.5,-5671,-22.9,-3,-0.5,-172,-0.5
"05021","5","111920","78","0","2023","A","","Clay County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,20,857019,204777,29078,821,42673,"",52.57,101.95,166.32,162.49,1219.78,1.62,1.62,"",0,0.0,1,5.3,83052,10.7,-35126,-14.6,-4989,-14.6,38,4.9,1938,4.8
"05031","5","111920","78","0","2023","A","N","Craighead County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,0,0,0,0,0,0,"N",20.25,0,0,0,0,0,0,"N",-1,-7.1,0,0,0,0,0,0,0,0,0,0,0,0
"05035","5","111920","78","0","2023","A","","Crittenden County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,39,1705822,374029,12382,852,44307,"",34.24,38.48,58.24,50.90,189.95,1.53,1.53,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05037","5","111920","78","0","2023","A","","Cross County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,584751,95872,287,906,47094,"",30.40,40.23,78.47,54.48,16.19,1.88,1.89,"",-1,-25.0,-1,-7.7,34417,6.3,-66826,-41.1,-202,-41.3,70,8.4,3647,8.4
"05041","5","111920","78","0","2023","A","","Desha County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,62,2513372,566639,5908,774,40268,"",207.59,221.32,307.55,329.23,372.73,1.38,1.38,"",1,5.3,-10,-13.9,-283251,-10.1,-377296,-40.0,-6622,-52.8,22,2.9,1154,3.0
"05043","5","111920","78","0","2023","A","N","Drew County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",17.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05055","5","111920","78","0","2023","A","N","Greene County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",10.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05073","5","111920","78","0","2023","A","N","Lafayette County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",29.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05077","5","111920","78","0","2023","A","N","Lee County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",170.60,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"05079","5","111920","78","0","2023","A","N","Lincoln County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",78.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05085","5","111920","78","0","2023","A","N","Lonoke County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",6.69,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"05093","5","111920","78","0","2023","A","","Mississippi County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",27,98,4047433,885218,28022,792,41160,"",125.04,85.45,81.42,100.74,179.57,0.95,0.95,"",0,0.0,11,12.6,628056,18.4,-133451,-13.1,-10053,-26.4,35,4.6,1781,4.5
"05095","5","111920","78","0","2023","A","N","Monroe County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",39.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05107","5","111920","78","0","2023","A","N","Phillips County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",23.38,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"05111","5","111920","78","0","2023","A","N","Poinsett County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",60.02,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05115","5","111920","78","0","2023","A","N","Pope County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05117","5","111920","78","0","2023","A","N","Prairie County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",20.40,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"05123","5","111920","78","0","2023","A","","St. Francis County, Arkansas","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,447511,91709,276,738,38358,"",23.65,27.99,35.61,35.96,11.70,1.31,1.31,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","111920","58","0","2023","A","N","California -- Statewide","Private","NAICS 111920 Cotton farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",159,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,"N",-19,-10.7,0,0,0,0,0,0,0,0,0,0,0,0
"06019","5","111920","78","0","2023","A","","Fresno County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",40,394,23288787,3491900,197422,1138,59159,"",4.53,14.79,24.85,19.80,29.59,1.68,1.68,"",-6,-13.0,-98,-19.9,-3705861,-13.7,-836125,-19.3,-57879,-22.7,82,7.8,4236,7.7
"06025","5","111920","78","0","2023","A","N","Imperial County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06029","5","111920","78","0","2023","A","","Kern County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",32,236,16599753,2290579,92710,1355,70437,"",5.89,10.80,21.02,14.85,14.92,1.95,1.95,"",1,3.2,35,17.4,3937729,31.1,358481,18.6,12057,14.9,142,11.7,7363,11.7
"06031","5","111920","78","0","2023","A","","Kings County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",27,528,37859500,5326334,319812,1380,71738,"",25.82,165.77,353.64,282.80,434.66,2.13,2.13,"",-3,-10.0,-33,-5.9,-2031840,-5.1,-259060,-4.6,-8727,-2.7,13,1.0,641,0.9
"06039","5","111920","78","0","2023","A","N","Madera County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",4.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06047","5","111920","78","0","2023","A","","Merced County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",28,123,6670820,1452465,84442,1040,54088,"",16.96,23.02,37.59,39.87,62.11,1.63,1.63,"",-5,-15.2,-40,-24.5,-1785889,-21.1,-339646,-19.0,-21696,-20.4,40,4.0,2100,4.0
"06065","5","111920","78","0","2023","A","N","Riverside County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"06095","5","111920","78","0","2023","A","N","Solano County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","5","111920","78","0","2023","A","N","Stanislaus County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"06101","5","111920","78","0","2023","A","N","Sutter County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06107","5","111920","78","0","2023","A","","Tulare County, California","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",22,126,6848474,1334566,58927,1049,54570,"",7.47,11.32,19.24,16.22,17.39,1.71,1.71,"",-1,-4.3,-7,-5.3,-125350,-1.8,-85548,-6.0,-5329,-8.3,37,3.7,1970,3.7
"12000","5","111920","58","0","2023","A","N","Florida -- Statewide","Private","NAICS 111920 Cotton farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",18,0,0,0,0,0,0,"N",0.10,0,0,0,0,0,0,"N",-1,-5.3,0,0,0,0,0,0,0,0,0,0,0,0
"12013","5","111920","78","0","2023","A","N","Calhoun County, Florida","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",34.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"12033","5","111920","78","0","2023","A","","Escambia County, Florida","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,4,168792,37221,158,749,38952,"",1.44,0.43,0.52,0.63,0.36,1.10,1.10,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"12057","5","111920","78","0","2023","A","N","Hillsborough County, Florida","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12063","5","111920","78","0","2023","A","","Jackson County, Florida","Private","NAICS 111920 Cotton farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,19,435108,136201,482,450,23414,"",31.82,20.05,16.08,28.58,13.40,0.82,0.82,"",0,0.0,2,11.8,27392,6.7,4332,3.3,-452,-48.4,-11,-2.4,-569,-2.4
